0	1
0	2
0	8
0	9
0	14
0	20
1	0
1	14
2	0
2	1
2	8
2	12
2	13
2	20
2	23
3	0
3	1
3	2
3	4
3	5
3	6
3	7
3	8
3	9
3	10
3	12
3	16
4	0
4	1
4	8
4	9
4	11
4	13
4	14
4	16
4	17
4	21
4	22
4	23
4	24
5	1
5	4
5	9
5	12
5	13
5	15
5	16
5	17
5	22
5	24
6	4
6	5
6	8
6	12
7	0
7	4
7	5
7	8
7	9
7	10
7	12
8	3
8	6
8	12
10	16
11	5
11	9
11	18
12	16
12	20
13	4
13	14
13	16
13	17
13	20
13	23
13	24
14	13
14	17
14	20
14	21
14	24
15	0
15	1
15	3
15	4
15	5
15	7
15	9
15	10
15	13
15	14
15	16
15	17
15	18
15	20
15	21
15	22
15	23
15	24
15	26
16	17
17	20
17	21
18	3
18	11
18	13
18	14
18	15
18	16
18	17
18	20
18	21
18	23
18	24
19	0
19	2
19	4
19	5
19	6
19	10
19	11
19	14
19	16
19	17
19	23
20	13
20	14
20	15
20	24
20	25
21	5
21	14
21	17
21	18
21	22
21	23
21	24
21	26
22	14
22	15
22	16
22	20
22	21
22	23
22	24
23	13
23	14
23	24
24	13
24	14
24	15
24	16
24	17
24	20
24	22
24	23
